timestamp,job_runtime_sec,total_rec_per_sec,checkpoint_mb,heap_pct,gc_sec,managed_mb,managed_used_mb,managed_pct,backpressure,rocksdb_compactions,rocksdb_pending_comp_mb,rocksdb_mem_tables_mb,rocksdb_stall_ms,rocksdb_write_stopped,rocksdb_flushes,rocksdb_immutable_mems,rocksdb_flush_pending,rocksdb_live_data_mb,rocksdb_cache_hit_rate_pct
2025-10-13 16:25:30,1213,1346,2201.56,54,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:25:34,1217,1356,2201.56,54,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:25:38,1221,1356,2201.56,54,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:25:42,1225,1356,2201.56,66,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:25:46,1229,986,2201.56,66,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:25:50,1233,986,2201.56,66,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:25:54,1237,986,2201.56,66,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:25:58,1241,843,2201.56,77,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:26:02,1245,843,2201.56,77,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:26:05,1248,843,2201.56,24,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:26:09,1252,880,2201.56,24,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:26:13,1256,880,2201.56,24,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:26:17,1260,880,2201.56,24,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:26:21,1264,768,2201.56,36,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
2025-10-13 16:26:29,1273,809,2201.56,47,9,2846,2846.72,100,ok,0,0,0,0.00,0,0,0,0,0,N/A
